id,name,parentId
1,Chemistry,0
2,Agrochemistry,1
3,Analytical chemistry,1
4,Astrochemistry,1
5,Atmospheric chemistry,1
6,Catalysts,1
7,Chemical biology,1
8,Chemical physics,1
9,Cheminformatics,1
10,Computational chemistry,1
11,Cosmochemistry,1
12,Electrochemistry,1
13,Environmental chemistry,1
14,Femtochemistry,1
15,Flavor chemistry,1
16,Flow chemistry,1
17,Geochemistry,1
18,Green chemistry,1
19,Histochemistry,1
20,Immunochemistry,1
21,Inorganic chemistry,1
22,Marine chemistry,1
23,Mathematical chemistry,1
24,Mechanochemistry,1
25,Medicinal chemistry,1
26,Molecular biology,1
27,Molecular mechanics,1
28,Nanotechnology,1
29,Natural product chemistry,1
30,Neurochemistry,1
31,Nuclear chemistry,1
32,Oenology,1
33,Organic chemistry,1
34,Organometallic chemistry,1
35,Petrochemistry,1
36,Pharmacology,1
37,Photochemistry,1
38,Physical chemistry,1
39,Phytochemistry,1
40,Polymer chemistry,1
41,Quantum chemistry,1
42,Radiochemistry,1
43,Soil chemistry,1
44,Solid-state chemistry,1
45,Sonochemistry,1
46,Supramolecular chemistry,1
47,Surface chemistry,1
48,Synthetic chemistry,1
49,Systems chemistry,1
50,Theoretical chemistry,1
51,Thermochemistry,1
52,Earth sciences,0
53,Edaphology,52
54,Environmental science,52
55,Environmental chemistry,52
56,Gemology,52
57,Geobiology,52
58,Geodesy,52
59,Geography,52
60,Geology,52
61,Geochemistry,52
62,Geomorphology,52
63,Geophysics,52
64,Glaciology,52
65,Hydrogeology,52
66,Hydrology,52
67,Meteorology,52
68,Mineralogy,52
69,Oceanography,52
70,Pedology,52
71,Paleontology,52
72,Quantum information,80
73,Paleoecology,52
74,Petrology,52
75,Sedimentology,52
76,Soil science,52
77,Speleology,52
78,Tectonics,52
79,Volcanology,52
80,Physics,0
81,Acoustics,80
82,Quantum acoustics,80
83,Agrophysics,80
84,Accelerator physics,80
85,Communication physics,80
86,Astrophysics,80
87,Atmospheric physics,80
88,Atmospheric electricity,80
89,Atomic physics,80
90,Biophysics,80
91,Neurophysics,80
92,Chemical physics,80
93,Computational physics,80
94,Condensed matter physics,80
95,Cryogenics,80
96,Dynamics,80
97,Analytical dynamics,80
98,Astrodynamics,80
99,Biodynamic,80
100,Brownian dynamics,80
101,Flight dynamics,80
102,Fluid dynamics,80
103,Aerodynamics,80
104,Hydrodynamics,80
105,Fractional dynamics,80
106,Geodynamics,80
107,Molecular dynamics,80
108,Newtonian dynamics,80
109,Langevin dynamics,80
110,Quantum chromodynamics,80
111,Quantum electrodynamics,80
112,Relativistic dynamics,80
113,Stellar dynamics,80
114,System dynamics,80
115,Thermodynamics,80
116,Vehicle dynamics,80
117,Econophysics,80
118,Electromagnetism,80
